country,upwork_registration_status,upwork_freelancer_count,technology_proxy_respondents,proxy_respondents_using_at_least_one_tracked_stack,most_frequent_stacks,least_or_unused_stacks,data_quality_note,JavaScript/TypeScript_proxy_count,Python_proxy_count,PHP_proxy_count,Java_proxy_count,React_proxy_count,Node.js_proxy_count,WordPress_proxy_count,.NET/C#_proxy_count,Ruby/Rails_proxy_count,Go_proxy_count,Swift_proxy_count,Kotlin_proxy_count,Flutter_proxy_count,Data science/ML_proxy_count,DevOps/cloud_proxy_count
Libya,Inferred in scope; verify at registration,Not publicly disclosed,4,4,DevOps/cloud (4); JavaScript/TypeScript (3); Python (3),"Unused in sample: Java, WordPress, Ruby/Rails, Swift, Flutter (+1 more)",Proxy—very low sample; not an Upwork headcount,3,3,1,0,2,2,0,2,0,1,0,1,0,0,4
Liechtenstein,Inferred in scope; verify at registration,Not publicly disclosed,4,4,DevOps/cloud (4); JavaScript/TypeScript (3); Data science/ML (1),"Unused in sample: .NET/C#, Ruby/Rails, Swift, Kotlin, Flutter",Proxy—very low sample; not an Upwork headcount,3,1,1,1,1,1,1,0,0,1,0,0,0,1,4
Lithuania,Inferred in scope; verify at registration,Not publicly disclosed,183,180,DevOps/cloud (153); JavaScript/TypeScript (119); .NET/C# (62),"Lowest observed: Ruby/Rails (7), Swift (9), Flutter (11)",Proxy—low sample; not an Upwork headcount,119,59,45,47,54,49,18,62,7,13,9,22,11,30,153
Luxembourg,Inferred in scope; verify at registration,Not publicly disclosed,40,39,JavaScript/TypeScript (34); DevOps/cloud (31); Python (22),"Lowest observed: Ruby/Rails (1), Swift (1), Flutter (2)",Proxy—very low sample; not an Upwork headcount,34,22,7,19,12,13,4,9,1,3,1,5,2,8,31
Madagascar,Inferred in scope; verify at registration,Not publicly disclosed,14,14,JavaScript/TypeScript (12); DevOps/cloud (10); Node.js (7),"Unused in sample: Ruby/Rails, Go, Swift, Kotlin",Proxy—very low sample; not an Upwork headcount,12,5,6,4,7,7,1,2,0,0,0,0,2,3,10
Malawi,Inferred in scope; verify at registration,Not publicly disclosed,12,10,DevOps/cloud (8); JavaScript/TypeScript (8); Node.js (6),"Unused in sample: Ruby/Rails, Swift",Proxy—very low sample; not an Upwork headcount,8,4,3,5,5,6,1,3,0,2,0,4,3,3,8
Malaysia,Inferred in scope; verify at registration,Not publicly disclosed,161,155,JavaScript/TypeScript (129); DevOps/cloud (124); Python (77),"Lowest observed: Ruby/Rails (9), Swift (11), Go (14)",Proxy—low sample; not an Upwork headcount,129,77,49,54,61,59,29,62,9,14,11,18,29,53,124
Maldives,Inferred in scope; verify at registration,Not publicly disclosed,16,14,DevOps/cloud (12); JavaScript/TypeScript (10); Python (9),"Lowest observed: Go (1), Kotlin (1), Ruby/Rails (1)",Proxy—very low sample; not an Upwork headcount,10,9,5,3,6,6,2,7,1,1,1,1,5,8,12
Mali,Inferred in scope; verify at registration,Not publicly disclosed,2,1,DevOps/cloud (1); Flutter (1); Python (1),"Unused in sample: JavaScript/TypeScript, PHP, Java, React, Node.js (+7 more)",Proxy—very low sample; not an Upwork headcount,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Malta,Inferred in scope; verify at registration,Not publicly disclosed,29,29,DevOps/cloud (27); JavaScript/TypeScript (20); .NET/C# (15),"Unused in sample: Ruby/Rails, Swift, Kotlin, Flutter",Proxy—very low sample; not an Upwork headcount,20,7,6,5,7,10,3,15,0,3,0,0,0,5,27
Marshall Islands,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Inferred in scope; verify at registration,Not publicly disclosed,5,5,DevOps/cloud (4); Java (4); JavaScript/TypeScript (4),"Unused in sample: Ruby/Rails, Go, Swift, Kotlin",Proxy—very low sample; not an Upwork headcount,4,4,3,4,3,1,1,1,0,0,0,0,3,2,4
Mauritius,Inferred in scope; verify at registration,Not publicly disclosed,15,15,JavaScript/TypeScript (12); DevOps/cloud (9); Node.js (8),"Unused in sample: Go, Swift, Kotlin, Flutter",Proxy—very low sample; not an Upwork headcount,12,6,7,4,7,8,2,5,1,0,0,0,0,5,9
Mexico,Inferred in scope; verify at registration,Not publicly disclosed,402,387,DevOps/cloud (324); JavaScript/TypeScript (307); Python (195),"Lowest observed: Swift (27), Ruby/Rails (28), Kotlin (37)",Proxy—medium sample; not an Upwork headcount,307,195,107,103,145,143,49,139,28,45,27,37,38,91,324
Micronesia,Inferred in scope; verify at registration,Not publicly disclosed,1,1,.NET/C# (1); Data science/ML (1); DevOps/cloud (1),"Unused in sample: JavaScript/TypeScript, Python, PHP, Java, React (+7 more)",Proxy—very low sample; not an Upwork headcount,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Moldova,Inferred in scope; verify at registration,Not publicly disclosed,38,32,DevOps/cloud (28); JavaScript/TypeScript (24); Java (12),"Lowest observed: Flutter (2), Swift (2), Kotlin (3)",Proxy—very low sample; not an Upwork headcount,24,12,10,12,12,11,4,11,4,4,2,3,2,5,28
Monaco,Inferred in scope; verify at registration,Not publicly disclosed,3,3,JavaScript/TypeScript (3); DevOps/cloud (2); Python (2),"Unused in sample: Go, Swift, Kotlin, Flutter",Proxy—very low sample; not an Upwork headcount,3,2,1,1,1,1,1,1,1,0,0,0,0,1,2
Mongolia,Inferred in scope; verify at registration,Not publicly disclosed,10,10,DevOps/cloud (9); JavaScript/TypeScript (8); React (7),"Unused in sample: Ruby/Rails, Swift",Proxy—very low sample; not an Upwork headcount,8,5,3,5,7,5,2,3,0,3,0,1,3,2,9
Montenegro,Inferred in scope; verify at registration,Not publicly disclosed,27,27,DevOps/cloud (22); JavaScript/TypeScript (21); Node.js (16),"Lowest observed: Ruby/Rails (1), Swift (1), Flutter (2)",Proxy—very low sample; not an Upwork headcount,21,10,3,6,15,16,2,8,1,6,1,4,2,7,22
Morocco,Inferred in scope; verify at registration,Not publicly disclosed,98,93,JavaScript/TypeScript (79); DevOps/cloud (75); Python (57),"Lowest observed: Ruby/Rails (3), Swift (5), Go (10)",Proxy—low sample; not an Upwork headcount,79,57,35,46,43,43,16,28,3,10,5,14,14,26,75
Mozambique,Inferred in scope; verify at registration,Not publicly disclosed,7,7,JavaScript/TypeScript (6); Python (4); DevOps/cloud (3),"Unused in sample: Ruby/Rails, Go, Swift, Flutter",Proxy—very low sample; not an Upwork headcount,6,4,2,3,2,3,1,2,0,0,0,3,0,1,3
Myanmar,Inferred in scope; verify at registration,Not publicly disclosed,21,19,DevOps/cloud (16); JavaScript/TypeScript (13); Node.js (11),"Lowest observed: Ruby/Rails (1), WordPress (1), Data science/ML (2)",Proxy—very low sample; not an Upwork headcount,13,4,8,6,10,11,1,3,1,3,2,2,4,2,16
Namibia,Inferred in scope; verify at registration,Not publicly disclosed,5,4,.NET/C# (4); DevOps/cloud (4); JavaScript/TypeScript (4),"Unused in sample: Ruby/Rails, Swift, Flutter",Proxy—very low sample; not an Upwork headcount,4,2,1,2,2,1,1,4,0,1,0,1,0,2,4
Nauru,Inferred in scope; verify at registration,Not publicly disclosed,1,1,Kotlin (1); .NET/C# (0); Data science/ML (0),"Unused in sample: JavaScript/TypeScript, Python, PHP, Java, React (+9 more)",Proxy—very low sample; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nepal,Inferred in scope; verify at registration,Not publicly disclosed,139,136,DevOps/cloud (111); JavaScript/TypeScript (107); React (66),"Lowest observed: Ruby/Rails (3), Swift (7), Kotlin (10)",Proxy—low sample; not an Upwork headcount,107,53,36,43,66,64,18,47,3,17,7,10,22,35,111
Netherlands,Inferred in scope; verify at registration,Not publicly disclosed,1449,1414,DevOps/cloud (1160); JavaScript/TypeScript (997); Python (698),"Lowest observed: Swift (70), Ruby/Rails (85), Flutter (93)",Proxy—medium sample; not an Upwork headcount,997,698,343,424,401,451,147,472,85,201,70,196,93,364,1160
New Zealand,Inferred in scope; verify at registration,Not publicly disclosed,396,382,DevOps/cloud (318); JavaScript/TypeScript (277); Python (197),"Lowest observed: Flutter (16), Swift (18), WordPress (23)",Proxy—medium sample; not an Upwork headcount,277,197,59,79,127,126,23,148,31,42,18,32,16,79,318
Nicaragua,Inferred in scope; verify at registration,Not publicly disclosed,21,21,DevOps/cloud (16); JavaScript/TypeScript (14); .NET/C# (9),Unused in sample: Swift,Proxy—very low sample; not an Upwork headcount,14,8,7,7,6,7,2,9,2,3,0,1,1,7,16
Niger,Inferred in scope; verify at registration,Not publicly disclosed,1,1,.NET/C# (1); Data science/ML (1); DevOps/cloud (1),"Unused in sample: PHP, Java, React, Node.js, Go (+1 more)",Proxy—very low sample; not an Upwork headcount,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1
Nigeria,Inferred in scope; verify at registration,Not publicly disclosed,305,285,DevOps/cloud (224); JavaScript/TypeScript (223); Python (131),"Lowest observed: Swift (13), Ruby/Rails (15), Kotlin (30)",Proxy—medium sample; not an Upwork headcount,223,131,68,62,131,127,40,61,15,34,13,30,44,65,224
North Macedonia,Inferred in scope; verify at registration,Not publicly disclosed,36,34,JavaScript/TypeScript (29); DevOps/cloud (25); Node.js (16),"Lowest observed: Flutter (1), Ruby/Rails (1), Swift (1)",Proxy—very low sample; not an Upwork headcount,29,13,10,11,11,16,4,7,1,3,1,3,1,5,25
Norway,Inferred in scope; verify at registration,Not publicly disclosed,450,437,DevOps/cloud (375); JavaScript/TypeScript (300); Python (211),"Lowest observed: Ruby/Rails (14), Swift (16), Flutter (20)",Proxy—medium sample; not an Upwork headcount,300,211,50,123,170,130,23,164,14,47,16,71,20,108,375
Oman,Inferred in scope; verify at registration,Not publicly disclosed,8,8,.NET/C# (6); DevOps/cloud (6); JavaScript/TypeScript (6),"Unused in sample: Node.js, WordPress, Ruby/Rails, Go, Swift (+1 more)",Proxy—very low sample; not an Upwork headcount,6,3,1,3,2,0,0,6,0,0,0,1,0,3,6
Pakistan,Inferred in scope; verify at registration,Not publicly disclosed,415,388,DevOps/cloud (318); JavaScript/TypeScript (308); React (186),"Lowest observed: Ruby/Rails (20), Go (21), Swift (21)",Proxy—medium sample; not an Upwork headcount,308,173,123,90,186,174,105,107,20,21,21,33,53,109,318
Palau,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,Inferred in scope; verify at registration,Not publicly disclosed,15,15,DevOps/cloud (12); JavaScript/TypeScript (12); React (8),"Unused in sample: WordPress, Ruby/Rails",Proxy—very low sample; not an Upwork headcount,12,4,4,5,8,7,0,6,0,2,1,1,4,2,12
Panama,Inferred in scope; verify at registration,Not publicly disclosed,18,16,DevOps/cloud (14); JavaScript/TypeScript (14); React (10),"Unused in sample: Ruby/Rails, Swift",Proxy—very low sample; not an Upwork headcount,14,5,6,4,10,5,2,8,0,1,0,1,1,4,14
Papua New Guinea,Inferred in scope; verify at registration,Not publicly disclosed,1,1,.NET/C# (1); JavaScript/TypeScript (1); PHP (1),"Unused in sample: Python, Java, React, Node.js, WordPress (+7 more)",Proxy—very low sample; not an Upwork headcount,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Paraguay,Inferred in scope; verify at registration,Not publicly disclosed,39,39,DevOps/cloud (32); JavaScript/TypeScript (28); Python (18),"Lowest observed: Swift (1), Kotlin (3), Ruby/Rails (3)",Proxy—very low sample; not an Upwork headcount,28,18,8,17,15,10,3,12,3,4,1,3,4,12,32
Peru,Inferred in scope; verify at registration,Not publicly disclosed,75,71,DevOps/cloud (67); JavaScript/TypeScript (55); Node.js (34),"Lowest observed: Go (2), Swift (3), Flutter (7)",Proxy—low sample; not an Upwork headcount,55,33,16,26,27,34,13,25,7,2,3,7,7,21,67
Philippines,Inferred in scope; verify at registration,Not publicly disclosed,196,188,JavaScript/TypeScript (156); DevOps/cloud (148); Node.js (86),"Lowest observed: Swift (6), Ruby/Rails (12), Kotlin (14)",Proxy—low sample; not an Upwork headcount,156,82,65,66,73,86,33,71,12,22,6,14,18,43,148
Poland,Inferred in scope; verify at registration,Not publicly disclosed,1534,1493,DevOps/cloud (1232); JavaScript/TypeScript (940); Python (782),"Lowest observed: Swift (51), Ruby/Rails (76), Flutter (101)",Proxy—medium sample; not an Upwork headcount,940,782,239,460,467,459,128,459,76,204,51,178,101,390,1232
Portugal,Inferred in scope; verify at registration,Not publicly disclosed,470,458,DevOps/cloud (358); JavaScript/TypeScript (311); Python (204),"Lowest observed: Swift (24), Ruby/Rails (31), Flutter (34)",Proxy—medium sample; not an Upwork headcount,311,204,94,166,139,150,48,144,31,52,24,63,34,117,358
Qatar,Inferred in scope; verify at registration,Not publicly disclosed,15,13,DevOps/cloud (9); JavaScript/TypeScript (7); .NET/C# (5),"Unused in sample: Ruby/Rails, Go",Proxy—very low sample; not an Upwork headcount,7,4,4,4,3,3,1,5,0,0,1,1,2,5,9
Republic of the Congo,Inferred in scope; verify at registration,Not publicly disclosed,8,8,Python (6); DevOps/cloud (5); Data science/ML (4),"Unused in sample: Go, Swift, Kotlin",Proxy—very low sample; not an Upwork headcount,4,6,2,3,3,4,1,2,1,0,0,0,3,4,5
Romania,Inferred in scope; verify at registration,Not publicly disclosed,439,428,DevOps/cloud (351); JavaScript/TypeScript (286); Python (184),"Lowest observed: Swift (14), Ruby/Rails (21), Flutter (39)",Proxy—medium sample; not an Upwork headcount,286,184,82,144,127,132,41,142,21,44,14,41,39,114,351
Rwanda,Inferred in scope; verify at registration,Not publicly disclosed,22,22,DevOps/cloud (20); JavaScript/TypeScript (15); React (14),"Lowest observed: Go (2), Swift (3), Flutter (4)",Proxy—very low sample; not an Upwork headcount,15,13,8,10,14,12,6,8,5,2,3,5,4,10,20
Saint Kitts and Nevis,Inferred in scope; verify at registration,Not publicly disclosed,1,1,Data science/ML (1); JavaScript/TypeScript (1); Python (1),"Unused in sample: PHP, Java, React, Node.js, WordPress (+7 more)",Proxy—very low sample; not an Upwork headcount,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Saint Lucia,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,Inferred in scope; verify at registration,Not publicly disclosed,1,1,.NET/C# (1); DevOps/cloud (1); Flutter (1),"Unused in sample: React, WordPress, Ruby/Rails, Go, Swift (+2 more)",Proxy—very low sample; not an Upwork headcount,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1
San Marino,Inferred in scope; verify at registration,Not publicly disclosed,3,2,.NET/C# (2); DevOps/cloud (2); Go (2),"Unused in sample: PHP, React, WordPress, Ruby/Rails, Swift",Proxy—very low sample; not an Upwork headcount,2,1,0,1,0,2,0,2,0,2,0,1,1,1,2
Sao Tome and Principe,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,Inferred in scope; verify at registration,Not publicly disclosed,56,55,DevOps/cloud (50); JavaScript/TypeScript (42); .NET/C# (24),"Lowest observed: Go (5), Ruby/Rails (5), Swift (8)",Proxy—low sample; not an Upwork headcount,42,18,15,15,24,23,12,24,5,5,8,9,9,14,50
Senegal,Inferred in scope; verify at registration,Not publicly disclosed,9,7,DevOps/cloud (6); JavaScript/TypeScript (6); PHP (4),Unused in sample: Go,Proxy—very low sample; not an Upwork headcount,6,3,4,3,3,3,2,2,2,0,2,1,1,1,6
Serbia,Inferred in scope; verify at registration,Not publicly disclosed,245,238,DevOps/cloud (203); JavaScript/TypeScript (172); Python (100),"Lowest observed: Swift (8), Flutter (17), Ruby/Rails (17)",Proxy—medium sample; not an Upwork headcount,172,100,52,72,84,82,21,75,17,37,8,29,17,56,203
Seychelles,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,Inferred in scope; verify at registration,Not publicly disclosed,3,3,DevOps/cloud (2); Java (2); JavaScript/TypeScript (2),"Unused in sample: PHP, WordPress, .NET/C#, Ruby/Rails, Go (+2 more)",Proxy—very low sample; not an Upwork headcount,2,2,0,2,1,1,0,0,0,0,0,0,1,1,2
Singapore,Inferred in scope; verify at registration,Not publicly disclosed,177,175,DevOps/cloud (151); JavaScript/TypeScript (129); Python (110),"Lowest observed: Swift (6), Ruby/Rails (12), Kotlin (13)",Proxy—low sample; not an Upwork headcount,129,110,18,58,75,73,14,44,12,38,6,13,17,68,151
Slovakia,Inferred in scope; verify at registration,Not publicly disclosed,248,243,DevOps/cloud (188); JavaScript/TypeScript (158); Python (106),"Lowest observed: Ruby/Rails (7), Flutter (14), Swift (15)",Proxy—medium sample; not an Upwork headcount,158,106,61,77,64,75,23,85,7,35,15,33,14,62,188
Slovenia,Inferred in scope; verify at registration,Not publicly disclosed,142,140,DevOps/cloud (108); JavaScript/TypeScript (101); Python (67),"Lowest observed: Ruby/Rails (5), Swift (6), Flutter (7)",Proxy—low sample; not an Upwork headcount,101,67,33,53,32,30,14,57,5,20,6,11,7,40,108
Solomon Islands,Inferred in scope; verify at registration,Not publicly disclosed,1,1,Data science/ML (1); DevOps/cloud (1); .NET/C# (0),"Unused in sample: JavaScript/TypeScript, Python, PHP, Java, React (+8 more)",Proxy—very low sample; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Somalia,Inferred in scope; verify at registration,Not publicly disclosed,9,8,JavaScript/TypeScript (8); DevOps/cloud (6); React (6),"Unused in sample: Ruby/Rails, Swift",Proxy—very low sample; not an Upwork headcount,8,3,3,3,6,5,4,4,0,1,0,3,4,2,6
South Africa,Inferred in scope; verify at registration,Not publicly disclosed,358,350,DevOps/cloud (296); JavaScript/TypeScript (252); Python (162),"Lowest observed: Ruby/Rails (15), Swift (16), Kotlin (36)",Proxy—medium sample; not an Upwork headcount,252,162,71,94,98,128,53,134,15,44,16,36,47,84,296
South Korea,Inferred in scope; verify at registration,Not publicly disclosed,203,197,DevOps/cloud (163); JavaScript/TypeScript (129); Python (116),"Lowest observed: Ruby/Rails (8), WordPress (8), Swift (14)",Proxy—medium sample; not an Upwork headcount,129,116,23,78,68,66,8,48,8,23,14,27,22,71,163
South Sudan,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Inferred in scope; verify at registration,Not publicly disclosed,1123,1101,DevOps/cloud (909); JavaScript/TypeScript (722); Python (551),"Lowest observed: Swift (51), Flutter (52), Ruby/Rails (58)",Proxy—medium sample; not an Upwork headcount,722,551,243,405,312,343,129,292,58,127,51,124,52,285,909
Sri Lanka,Inferred in scope; verify at registration,Not publicly disclosed,163,156,DevOps/cloud (139); JavaScript/TypeScript (132); Python (87),"Lowest observed: Ruby/Rails (7), Swift (12), Go (17)",Proxy—low sample; not an Upwork headcount,132,87,58,78,83,84,32,59,7,17,12,22,24,51,139
Sudan,Inferred in scope; verify at registration,Not publicly disclosed,7,6,DevOps/cloud (6); JavaScript/TypeScript (4); Node.js (4),"Unused in sample: Ruby/Rails, Swift",Proxy—very low sample; not an Upwork headcount,4,4,1,3,4,4,1,3,0,1,0,2,2,2,6
Suriname,Inferred in scope; verify at registration,Not publicly disclosed,5,5,DevOps/cloud (5); JavaScript/TypeScript (5); Node.js (4),"Unused in sample: Ruby/Rails, Swift, Kotlin, Flutter",Proxy—very low sample; not an Upwork headcount,5,1,2,1,4,4,2,2,0,1,0,0,0,2,5
Sweden,Inferred in scope; verify at registration,Not publicly disclosed,1016,974,DevOps/cloud (784); JavaScript/TypeScript (627); Python (457),"Lowest observed: Flutter (47), Swift (49), Ruby/Rails (50)",Proxy—medium sample; not an Upwork headcount,627,457,122,265,334,282,66,393,50,154,49,92,47,187,784
Switzerland,Inferred in scope; verify at registration,Not publicly disclosed,876,837,DevOps/cloud (689); JavaScript/TypeScript (574); Python (466),"Lowest observed: Swift (42), Ruby/Rails (49), Flutter (62)",Proxy—medium sample; not an Upwork headcount,574,466,187,326,207,245,80,275,49,111,42,78,62,289,689
Taiwan,Inferred in scope; verify at registration,Not publicly disclosed,268,260,DevOps/cloud (214); JavaScript/TypeScript (176); Python (136),"Lowest observed: Ruby/Rails (9), Kotlin (14), Swift (16)",Proxy—medium sample; not an Upwork headcount,176,136,42,76,69,91,25,88,9,43,16,14,18,83,214
Tajikistan,Inferred in scope; verify at registration,Not publicly disclosed,7,5,DevOps/cloud (4); Python (4); JavaScript/TypeScript (3),"Unused in sample: Java, WordPress, Ruby/Rails, Swift, Kotlin (+1 more)",Proxy—very low sample; not an Upwork headcount,3,4,1,0,1,1,0,1,0,1,0,0,0,1,4
Tanzania,Inferred in scope; verify at registration,Not publicly disclosed,28,28,DevOps/cloud (25); JavaScript/TypeScript (24); Java (16),"Lowest observed: Go (1), Swift (1), WordPress (3)",Proxy—very low sample; not an Upwork headcount,24,12,12,16,12,12,3,9,4,1,1,5,10,6,25
Thailand,Inferred in scope; verify at registration,Not publicly disclosed,147,140,DevOps/cloud (126); JavaScript/TypeScript (115); Python (73),"Lowest observed: Ruby/Rails (9), Swift (14), Flutter (16)",Proxy—low sample; not an Upwork headcount,115,73,33,46,59,67,23,51,9,28,14,21,16,49,126
Timor-Leste,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,Inferred in scope; verify at registration,Not publicly disclosed,9,8,JavaScript/TypeScript (7); DevOps/cloud (6); Java (4),"Unused in sample: React, Ruby/Rails, Go, Swift, Kotlin",Proxy—very low sample; not an Upwork headcount,7,3,2,4,0,3,1,1,0,0,0,0,3,3,6
Tonga,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,Inferred in scope; verify at registration,Not publicly disclosed,8,8,DevOps/cloud (7); Data science/ML (4); JavaScript/TypeScript (4),"Unused in sample: Ruby/Rails, Go, Kotlin, Flutter",Proxy—very low sample; not an Upwork headcount,4,4,4,3,2,1,3,2,0,0,1,0,0,4,7
Tunisia,Inferred in scope; verify at registration,Not publicly disclosed,71,67,JavaScript/TypeScript (58); DevOps/cloud (55); Python (31),"Lowest observed: Ruby/Rails (1), Swift (1), Kotlin (7)",Proxy—low sample; not an Upwork headcount,58,31,23,25,26,22,7,19,1,10,1,7,12,15,55
Turkey,Inferred in scope; verify at registration,Not publicly disclosed,546,524,DevOps/cloud (435); JavaScript/TypeScript (356); .NET/C# (250),"Lowest observed: Ruby/Rails (13), Swift (33), Kotlin (65)",Proxy—medium sample; not an Upwork headcount,356,248,90,170,187,197,73,250,13,69,33,65,76,158,435
Turkmenistan,Inferred in scope; verify at registration,Not publicly disclosed,11,11,JavaScript/TypeScript (10); DevOps/cloud (8); Python (6),"Lowest observed: Java (1), Swift (1), .NET/C# (2)",Proxy—very low sample; not an Upwork headcount,10,6,5,1,5,4,2,2,2,3,1,2,4,3,8
Tuvalu,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Inferred in scope; verify at registration,Not publicly disclosed,39,37,DevOps/cloud (33); JavaScript/TypeScript (26); Python (23),Unused in sample: Ruby/Rails,Proxy—very low sample; not an Upwork headcount,26,23,12,15,15,12,9,12,0,3,2,4,8,15,33
Ukraine,Inferred in scope; verify at registration,Not publicly disclosed,2672,2618,DevOps/cloud (2294); JavaScript/TypeScript (1647); Python (961),"Lowest observed: Ruby/Rails (90), Swift (102), Flutter (131)",Proxy—medium sample; not an Upwork headcount,1647,961,396,664,838,750,150,677,90,338,102,209,131,529,2294
United Arab Emirates,Inferred in scope; verify at registration,Not publicly disclosed,130,124,DevOps/cloud (105); JavaScript/TypeScript (98); Python (64),"Lowest observed: Ruby/Rails (8), Swift (11), Kotlin (16)",Proxy—low sample; not an Upwork headcount,98,64,33,40,58,55,22,42,8,18,11,16,17,36,105
United Kingdom,Inferred in scope; verify at registration,Not publicly disclosed,3224,3133,DevOps/cloud (2563); JavaScript/TypeScript (2147); Python (1634),"Lowest observed: Flutter (126), Swift (160), Ruby/Rails (174)",Proxy—medium sample; not an Upwork headcount,2147,1634,494,701,962,937,271,1175,174,429,160,238,126,856,2563
United States,Inferred in scope; verify at registration,Not publicly disclosed,11095,10696,DevOps/cloud (8673); JavaScript/TypeScript (7386); Python (6238),"Lowest observed: Flutter (428), Swift (683), Kotlin (821)",Proxy—medium sample; not an Upwork headcount,7386,6238,1343,2949,3506,3463,881,3436,938,1700,683,821,428,3344,8673
Uruguay,Inferred in scope; verify at registration,Not publicly disclosed,94,93,DevOps/cloud (75); JavaScript/TypeScript (68); Python (43),"Lowest observed: Swift (4), WordPress (6), Go (8)",Proxy—low sample; not an Upwork headcount,68,43,12,29,34,35,6,28,10,8,4,8,9,20,75
Uzbekistan,Inferred in scope; verify at registration,Not publicly disclosed,62,61,DevOps/cloud (48); JavaScript/TypeScript (39); Python (21),"Unused in sample: WordPress, Swift",Proxy—low sample; not an Upwork headcount,39,21,8,16,19,20,0,15,2,3,0,9,4,16,48
Vanuatu,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,Inferred in scope; verify at registration,Not publicly disclosed,69,65,JavaScript/TypeScript (54); DevOps/cloud (48); Python (25),"Lowest observed: Flutter (1), Swift (1), Ruby/Rails (3)",Proxy—low sample; not an Upwork headcount,54,25,24,16,25,24,17,14,3,6,1,5,1,9,48
Vietnam,Inferred in scope; verify at registration,Not publicly disclosed,296,280,DevOps/cloud (233); JavaScript/TypeScript (217); Python (137),"Lowest observed: Ruby/Rails (13), Swift (15), WordPress (25)",Proxy—medium sample; not an Upwork headcount,217,137,53,126,121,118,25,99,13,38,15,29,27,88,233
Yemen,Inferred in scope; verify at registration,Not publicly disclosed,18,15,DevOps/cloud (13); JavaScript/TypeScript (12); Python (10),"Unused in sample: Go, Swift",Proxy—very low sample; not an Upwork headcount,12,10,6,4,4,6,1,9,1,0,0,2,5,4,13
Zambia,Inferred in scope; verify at registration,Not publicly disclosed,15,13,DevOps/cloud (12); Python (8); React (8),"Unused in sample: Go, Swift",Proxy—very low sample; not an Upwork headcount,7,8,3,4,8,4,6,6,1,0,0,1,3,4,12
Zimbabwe,Inferred in scope; verify at registration,Not publicly disclosed,26,26,DevOps/cloud (24); JavaScript/TypeScript (18); Python (17),Unused in sample: Swift,Proxy—very low sample; not an Upwork headcount,18,17,8,7,12,12,7,10,2,3,0,2,7,12,24
